SPN,Definition
B70,"Death, Battle Casualty  Navy"
B79,"Death, Battle Casualty  Navy"
BB,Maximum Age
BC,Maximum Service Or Time In Grade
BCR,Weight Control Failure
BD,Sufficient Service For Retirement
BDA,Fraudulent Entry
BDG,Parenthood Or Custody Of Minor Children
BDK,Military Personnel Security Program
BDT,Fraudulent Entry (Drug Abuse)
BDU,Fraudulent Entry (Alcohol Abuse)
BE (INACTIVE),Early Retirement
BFD,Disruptive Behavior Disorder
BFE,Mental Disorder (Other)
BFS,"Good of the Service, conduct triable by court martial"
BFT,Physical Standards
BFV,"Condition, Not A Disability "
BFX,Personality Disorder
BFY,Adjustment Disorder
BFZ,Impulse Control Disorder
BHF,Failure To Complete A Course Of Instruction
BHJ,Unsatisfactory Performance
BHK,Substandard Performance
BJ,Medal Of Honor Recipient
BK,Required Active Service
BKA,Pattern Of Misconduct
BKB,Misconduct (Civil Conviction)
BKC,See BRA
BKK,Misconduct (Drug Abuse)
BKL,Misconduct (Sexual Perversion)
BKM,Misconduct (Other)
BKN,Misconduct (Minor Infractions)
BKQ,Misconduct (Serious Offense)
BKR,Misconduct (Anthrax Refusal)
BLC,Homosexuality
BLF,Drug use
BLM,Unfitness (Reason Unknown)
BM,Insufficient Retainability (Economic Reasons)
BML,Homosexuality
BMN,Unsuitability (Reason Unknown)
BNB,Unacceptable Conduct (Anthrax Refusal)
BNC,Unacceptable Conduct
BPC,Drug Rehabilitation Failure
BPD,Alcohol Rehabilitation Failure
BRA,Homosexual Conduct (Acts)
BRB,Homosexual Conduct (Statement)
BRC,Homosexual Conduct (Marriage Or Attempted Marriage)
CA(INACTIVE),Early Release Program-Voluntary Separation Incentive
CB (INACTIVE),Early Release Program-Special Separation Benefit
CBL,Unsuitability (Reason Unknown)
CC,Reduction In Force
CF,Attend Civilian School
CK,Civil Office Appointment
CM,Conscientious Objector
CN,Force Shaping Initiatives
CP,Alien
CQ,Surviving Family Member
CR,Weight Control Failure
DA,Fraudulent Entry
DB,Hardship
DCH,Early Release  To teach
DER,Disability  Non EPTS  No Severance Pay
DF,Pregnancy Or Childbirth
DFS,In Lieu Of Trial By Court Martial
DG,Parenthood Or Custody Of Minor Children
DK,Military Personnel Security Program
DKL,Misconduct (Sexual Perversion)
DL,Ecclesiastical Endorsement
DLC,Homosexuality
DM,Holiday Release Program
DN,Lack Of Jurisdiction
DS,Defective Enlistment Agreement
DT,Fraudulent Entry (Drug Abuse)
DU,Fraudulent Entry (Alcohol Abuse)
EA,"Disability, Combat, Enhanced"
EB,"Disability, Non Combat, Enhanced"
EE,"Disability, Existed Prior To Service, Peb (Enhanced) "
EJ,"Disability, Permanent (Enhanced)"
EK,Disability Temporary (Enhanced)
EKD,"AWOL, Desertion"
EL,"Disability, Severance Pay (Enhanced) "
ELPAC,Entry Level Performance & Conduct
EN,"Disability, Existed Prior To Service, Med Board (Enhanced) "
EP,"Disability, Not In Line Of Duty (Enhanced) "
EQ,"Disability, Aggravation (Enhanced) "
ER,"Disability, Other (Enhanced) "
FA,Erroneous Entry (Alcohol Abuse)
FB,Under Age
FBC,Other
FBD,Sufficient Service For Retirement
FBJ,Medal Of Honor Recipient
FBK,Completion Of Required Active Service
FBL,Expiration of Term of Service
FC,Erroneous Entry (Other)
FCA,Early Release Program-Voluntary Separation Incentive
FCB,Early Release Program-Special Separation Benefit
FCC,Reduction In Force
FCF,Attend Civilian School
FCK,Civil Office
FCM,Conscientious Objector
FCN,Force ShapingVsp
FCP,Alien
FCQ,Surviving Family Member - Sole Survivorship
FCR,Weight Control Failure
FD,Disruptive Behavior Disorder
FDB,Hardship
FDF,Pregnancy Or Childbirth
FDG,Parenthood
FDL,Ecclesiastical Endorsement
FDM,Holiday Early Release Program
FE,Mental Disorder (Other)
FF,Secretarial Authority
FFF,Secretarial Authority
FFT,Physical Standards
FFV,"Condition, Not A Disability "
FFW,Failed Medical/Physical Procurement Standards
FG,"Competent Authority, Without Board Action"
FGM,To accept commission
FGP,Interdepartmenmental Transfer
FGQ,Intradepartmental Transfer
